funnel_search_id,created_at,tasker_id,position,hourly_rate,num_completed_tasks,hired,category
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1009927090,1,37,474,1,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1008269079,2,55,476,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1008762938,3,60,593,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1011998806,4,40,6,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1008839858,5,60,781,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1010484125,6,60,212,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1013650812,7,50,12,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1009198916,8,34,20,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1008852766,9,60,87,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1009604120,10,60,196,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1012721277,11,36,0,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1010578972,12,60,316,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1014423146,13,65,707,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1007079569,14,65,341,0,Mounting
0-0-7832d5e2-c15c-48d0-bef5-e14a78536ea7,9/7/17 17:23,1008954999,15,60,427,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1013165984,1,50,449,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1013359522,2,50,182,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1012719266,3,32,0,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1013443601,4,50,152,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1009618145,5,55,1038,1,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1013794735,6,55,128,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1014508755,7,49,116,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1007081910,8,57,353,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1014318666,9,55,194,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1014629676,10,46,31,0,Mounting
0-0-83703b2f-ebb6-44b9-bd70-59258eaefe42,9/7/17 17:40,1006912729,11,40,67,0,Mounting
